Potential_Buyer,Target,bid,TP,Success,Round
BRONX-LEBANON HOSPITAL CENTER,HOSPITAL FOR SPECIAL SURGERY,2098874399,9,No,8
"ST FRANCIS HOSPITAL, ROSLYN",PENINSULA HOSPITAL CENTER,56423475.89,4,No,9
NEW YORK METHODIST HOSPITAL,PENINSULA HOSPITAL CENTER,52716529.33,4,No,9
NORTH CENTRAL BRONX HOSPITAL,PENINSULA HOSPITAL CENTER,63297167.34,4,No,9
HUNTINGTON HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,504753530.5,4,No,9
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,BRONX-LEBANON HOSPITAL CENTER,479402043.4,4,No,9
LINCOLN MEDICAL & MENTAL HEALTH CENTER,BRONX-LEBANON HOSPITAL CENTER,486740846.8,4,No,9
NORTH SHORE UNIVERSITY HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,482786192.4,4,No,9
STATEN ISLAND UNIVERSITY HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,515652792.5,4,No,9
HARLEM HOSPITAL CENTER,BRONX-LEBANON HOSPITAL CENTER,492702170.6,4,No,9
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,BRONX-LEBANON HOSPITAL CENTER,525149582.8,4,No,9
ST BARNABAS HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,522073445.3,4,No,9
NEW YORK DOWNTOWN HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",57429642.32,4,No,9
EASTERN LONG ISLAND HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",57292177.5,4,No,9
PECONIC BAY MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",58544463.34,4,No,9
SOUTH NASSAU COMMUNITIES HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",53866670.26,4,No,9
ST JOSEPH HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",55604265.71,4,No,9
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,505937810.1,4,No,9
BRONX-LEBANON HOSPITAL CENTER,LONG ISLAND COLLEGE HOSPITAL,147206939.6,4,No,9
GLEN COVE HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",486376408.5,4,No,9
NYU HOSPITALS CENTER,"ST FRANCIS HOSPITAL, ROSLYN",493463037.5,4,No,9
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),"ST FRANCIS HOSPITAL, ROSLYN",523495846.1,4,No,9
MONTEFIORE MEDICAL CENTER,LONG ISLAND JEWISH MEDICAL CENTER,1313652098,4,No,9
HOSPITAL FOR SPECIAL SURGERY,LONG ISLAND JEWISH MEDICAL CENTER,1252880671,4,No,9
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,CONEY ISLAND HOSPITAL,163588147.7,4,No,9
LONG ISLAND JEWISH MEDICAL CENTER,CONEY ISLAND HOSPITAL,188415712.7,4,No,9
LUTHERAN MEDICAL CENTER,CONEY ISLAND HOSPITAL,175017517.7,4,No,9
PENINSULA HOSPITAL CENTER,KINGSBROOK JEWISH MEDICAL CENTER,88950486.33,4,No,9
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",KINGSBROOK JEWISH MEDICAL CENTER,86651139.8,4,No,9
WINTHROP-UNIVERSITY HOSPITAL,KINGS COUNTY HOSPITAL CENTER,1069853470,4,No,9
LENOX HILL HOSPITAL,FOREST HILLS HOSPITAL,60814710.93,4,No,9
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,FOREST HILLS HOSPITAL,61233056.47,4,No,9
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FOREST HILLS HOSPITAL,58107570.2,4,No,9
MOUNT SINAI HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,529844600.7,4,No,9
NEW YORK-PRESBYTERIAN HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,558770917.9,4,No,9
ELMHURST HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,552660342.2,4,No,9
BETH ISRAEL MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,570019815.5,4,No,9
MAIMONIDES MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,557170575.2,4,No,9
CONEY ISLAND HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,567009007.2,4,No,9
BELLEVUE HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,527595957.1,4,No,9
KINGS COUNTY HOSPITAL CENTER,ST BARNABAS HOSPITAL,305108002.8,4,No,9
UNIVERSITY HOSPITAL ( STONY BROOK ),ST BARNABAS HOSPITAL,303346790.6,4,No,9
UNIVERSITY HOSPITAL ( STONY BROOK ),JAMAICA HOSPITAL MEDICAL CENTER,210571903.7,5,No,9
GLEN COVE HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",184764059.1,5,No,9
MAIMONIDES MEDICAL CENTER,ST LUKE'S ROOSEVELT HOSPITAL,1002974592,5,No,9
STATEN ISLAND UNIVERSITY HOSPITAL,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,206736925.8,5,No,9
LINCOLN MEDICAL & MENTAL HEALTH CENTER,NORTH SHORE UNIVERSITY HOSPITAL,2162324104,5,No,9
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),JACOBI MEDICAL CENTER,218787694.7,5,No,9
NORTH SHORE UNIVERSITY HOSPITAL,ELMHURST HOSPITAL CENTER,553856744.7,5,No,9
ST JOSEPH HOSPITAL,FLUSHING HOSPITAL MEDICAL CENTER,90421916.64,5,No,9
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FLUSHING HOSPITAL MEDICAL CENTER,90646146.44,5,No,9
NEW YORK DOWNTOWN HOSPITAL,LONG BEACH MEDICAL CENTER,37183271.49,5,No,9
"ST FRANCIS HOSPITAL, ROSLYN",BROOKDALE HOSPITAL MEDICAL CENTER,244158472.2,5,No,9
MOUNT SINAI HOSPITAL,HARLEM HOSPITAL CENTER,299289311.8,5,No,9
BETH ISRAEL MEDICAL CENTER,HARLEM HOSPITAL CENTER,273230332.4,5,No,9
CONEY ISLAND HOSPITAL,HARLEM HOSPITAL CENTER,298273795,5,No,9
NEW YORK METHODIST HOSPITAL,HARLEM HOSPITAL CENTER,273963202.9,5,No,9
LUTHERAN MEDICAL CENTER,HARLEM HOSPITAL CENTER,278913694.7,5,No,9
HUNTINGTON HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,563800898.5,5,No,9
ELMHURST HOSPITAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,492118178.2,5,No,9
BELLEVUE HOSPITAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,546180576.8,5,No,9
HARLEM HOSPITAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,514092370.5,5,No,9
MERCY MEDICAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,544031370.9,5,No,9
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,LUTHERAN MEDICAL CENTER,388741445.9,5,No,9
SOUTH NASSAU COMMUNITIES HOSPITAL,LUTHERAN MEDICAL CENTER,384428226.5,5,No,9
HOSPITAL FOR SPECIAL SURGERY,LUTHERAN MEDICAL CENTER,396838207,5,No,9
NYU HOSPITALS CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),464348934.7,5,No,9
PECONIC BAY MEDICAL CENTER,FRANKLIN HOSPITAL,55528271.9,5,No,9
LENOX HILL HOSPITAL,INTERFAITH MEDICAL CENTER,78305723.93,5,No,9
NEW YORK METHODIST HOSPITAL,HUNTINGTON HOSPITAL,191240589.5,6,No,9
BETH ISRAEL MEDICAL CENTER,LINCOLN MEDICAL & MENTAL HEALTH CENTER,1849974687,6,No,9
UNIVERSITY HOSPITAL ( STONY BROOK ),WINTHROP-UNIVERSITY HOSPITAL,1524002222,6,No,9
MOUNT SINAI HOSPITAL,BETH ISRAEL MEDICAL CENTER,1202700359,6,No,9
HARLEM HOSPITAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",470971515.4,6,No,9
STATEN ISLAND UNIVERSITY HOSPITAL,SOUTH NASSAU COMMUNITIES HOSPITAL,243492790.5,6,No,9
ELMHURST HOSPITAL CENTER,NYU HOSPITALS CENTER,1173115023,6,No,9
CONEY ISLAND HOSPITAL,NYU HOSPITALS CENTER,1267807045,6,No,9
HUNTINGTON HOSPITAL,QUEENS HOSPITAL CENTER,156504112.4,6,No,9
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,QUEENS HOSPITAL CENTER,146807849.7,6,No,9
NYU HOSPITALS CENTER,HOSPITAL FOR SPECIAL SURGERY,832741496.6,6,No,9
ST JOSEPH HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,112370748.7,6,No,9
SOUTH NASSAU COMMUNITIES HOSPITAL,UNIVERSITY HOSPITAL ( STONY BROOK ),1489635368,6,No,9
NEW YORK-PRESBYTERIAN HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,833536513.3,6,No,9
PECONIC BAY MEDICAL CENTER,EASTERN LONG ISLAND HOSPITAL,16264741.9,7,No,9
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,EASTERN LONG ISLAND HOSPITAL,15508312.93,7,No,9
UNIVERSITY HOSPITAL ( STONY BROOK ),EASTERN LONG ISLAND HOSPITAL,15961186.78,7,No,9
MOUNT SINAI HOSPITAL,ELMHURST HOSPITAL CENTER,426522854.4,7,No,9
NEW YORK-PRESBYTERIAN HOSPITAL,STATEN ISLAND UNIVERSITY HOSPITAL,1425022337,7,No,9
SOUTH NASSAU COMMUNITIES HOSPITAL,MAIMONIDES MEDICAL CENTER,1265158935,7,No,9
LENOX HILL HOSPITAL,SOUTH NASSAU COMMUNITIES HOSPITAL,370668057.1,7,No,9
NEW YORK METHODIST HOSPITAL,SOUTH NASSAU COMMUNITIES HOSPITAL,363095994.3,7,No,9
ELMHURST HOSPITAL CENTER,BELLEVUE HOSPITAL CENTER,726822866.1,7,No,9
CONEY ISLAND HOSPITAL,NEW YORK METHODIST HOSPITAL,893682061.2,7,No,9
MERCY MEDICAL CENTER,HOSPITAL FOR SPECIAL SURGERY,901241473.4,7,No,9
MOUNT SINAI HOSPITAL,NEW YORK-PRESBYTERIAN HOSPITAL,8237291870,8,No,9
MERCY MEDICAL CENTER,NEW YORK-PRESBYTERIAN HOSPITAL,8149868592,8,No,9
CONEY ISLAND HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),1272564724,8,No,9
NEW YORK METHODIST HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),1339134748,8,No,9
CONEY ISLAND HOSPITAL,NASSAU UNIVERSITY MEDICAL CENTER,221713052.1,9,No,9
LENOX HILL HOSPITAL,METROPOLITAN HOSPITAL CENTER,126885406.6,9,No,9
MOUNT SINAI HOSPITAL,MERCY MEDICAL CENTER,1242116993,9,No,9
UNIVERSITY HOSPITAL ( STONY BROOK ),MERCY MEDICAL CENTER,1099073583,9,No,9
NEW YORK METHODIST HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),660498521.9,9,No,9
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,ST CATHERINE OF SIENA HOSPITAL,118417836.5,9,No,9
NEW YORK DOWNTOWN HOSPITAL,PENINSULA HOSPITAL CENTER,52136961.1,4,No,10
EASTERN LONG ISLAND HOSPITAL,PENINSULA HOSPITAL CENTER,52840807.44,4,No,10
NYU HOSPITALS CENTER,PENINSULA HOSPITAL CENTER,59197717.92,4,No,10
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),PENINSULA HOSPITAL CENTER,54176188.53,4,No,10
HUNTINGTON HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,497916327.5,4,No,10
LINCOLN MEDICAL & MENTAL HEALTH CENTER,BRONX-LEBANON HOSPITAL CENTER,484553999.6,4,No,10
UNIVERSITY HOSPITAL ( STONY BROOK ),BRONX-LEBANON HOSPITAL CENTER,520361005.1,4,No,10
PECONIC BAY MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",60276105.01,4,No,10
GLEN COVE HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",54802866.17,4,No,10
ST JOSEPH HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",64653589.61,4,No,10
LUTHERAN MEDICAL CENTER,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,133852188.8,4,No,10
NORTH CENTRAL BRONX HOSPITAL,EASTERN LONG ISLAND HOSPITAL,18767224.18,4,No,10
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,LONG ISLAND COLLEGE HOSPITAL,142602594.8,4,No,10
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,BETH ISRAEL MEDICAL CENTER,1470857031,4,No,10
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,FLUSHING HOSPITAL MEDICAL CENTER,73023358.98,4,No,10
MOUNT SINAI HOSPITAL,MAIMONIDES MEDICAL CENTER,806855197,4,No,10
MONTEFIORE MEDICAL CENTER,MAIMONIDES MEDICAL CENTER,886290363.3,4,No,10
NEW YORK-PRESBYTERIAN HOSPITAL,SOUTH NASSAU COMMUNITIES HOSPITAL,302086487,4,No,10
LENOX HILL HOSPITAL,SOUTH NASSAU COMMUNITIES HOSPITAL,299609771,4,No,10
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,SOUTH NASSAU COMMUNITIES HOSPITAL,307885099.4,4,No,10
HOSPITAL FOR SPECIAL SURGERY,SOUTH NASSAU COMMUNITIES HOSPITAL,314707125.8,4,No,10
ST BARNABAS HOSPITAL,SOUTH NASSAU COMMUNITIES HOSPITAL,316481708.2,4,No,10
BETH ISRAEL MEDICAL CENTER,METROPOLITAN HOSPITAL CENTER,131715597.4,4,No,10
MAIMONIDES MEDICAL CENTER,METROPOLITAN HOSPITAL CENTER,142510029.8,4,No,10
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",KINGSBROOK JEWISH MEDICAL CENTER,85976949.07,4,No,10
WINTHROP-UNIVERSITY HOSPITAL,HARLEM HOSPITAL CENTER,249275290.4,4,No,10
CONEY ISLAND HOSPITAL,HARLEM HOSPITAL CENTER,237301856.8,4,No,10
SOUTH NASSAU COMMUNITIES HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,476925637.4,4,No,10
HARLEM HOSPITAL CENTER,HOSPITAL FOR SPECIAL SURGERY,452856888.2,4,No,10
NEW YORK METHODIST HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),504345117,4,No,10
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),539301637.1,4,No,10
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FOREST HILLS HOSPITAL,60879827.34,4,No,10
PENINSULA HOSPITAL CENTER,NORTH CENTRAL BRONX HOSPITAL,77915303.62,4,No,10
NORTH SHORE UNIVERSITY HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,516057669.9,4,No,10
ELMHURST HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,550949810.5,4,No,10
STATEN ISLAND UNIVERSITY HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,532308461.1,4,No,10
LONG ISLAND JEWISH MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,537458437.5,4,No,10
BRONX-LEBANON HOSPITAL CENTER,INTERFAITH MEDICAL CENTER,152683981.3,4,No,10
"ST FRANCIS HOSPITAL, ROSLYN",ST BARNABAS HOSPITAL,295050287.1,4,No,10
MOUNT SINAI HOSPITAL,LINCOLN MEDICAL & MENTAL HEALTH CENTER,382214440.8,5,No,10
LINCOLN MEDICAL & MENTAL HEALTH CENTER,NORTH SHORE UNIVERSITY HOSPITAL,1426714629,5,No,10
MERCY MEDICAL CENTER,NORTH SHORE UNIVERSITY HOSPITAL,1423561112,5,No,10
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,215959408.4,5,No,10
BELLEVUE HOSPITAL CENTER,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,207562963.1,5,No,10
HOSPITAL FOR SPECIAL SURGERY,LONG BEACH MEDICAL CENTER,48924619.03,5,No,10
HUNTINGTON HOSPITAL,QUEENS HOSPITAL CENTER,123857011,5,No,10
STATEN ISLAND UNIVERSITY HOSPITAL,QUEENS HOSPITAL CENTER,126428442.2,5,No,10
NORTH SHORE UNIVERSITY HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,497192555.1,5,No,10
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),GOOD SAMARITAN HOSPITAL MEDICAL CENTER,351650716.8,5,No,10
NEW YORK DOWNTOWN HOSPITAL,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,29240575.3,5,No,10
"ST FRANCIS HOSPITAL, ROSLYN",NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,29120860.91,5,No,10
LENOX HILL HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),463785964.9,5,No,10
ELMHURST HOSPITAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),437564979.6,5,No,10
GLEN COVE HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),433175043.6,5,No,10
LONG ISLAND JEWISH MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),429710110,5,No,10
NEW YORK METHODIST HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),474416514,5,No,10
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),394294390.5,5,No,10
CONEY ISLAND HOSPITAL,FRANKLIN HOSPITAL,55536171.23,5,No,10
KINGSBROOK JEWISH MEDICAL CENTER,FRANKLIN HOSPITAL,55714300.64,5,No,10
BELLEVUE HOSPITAL CENTER,NASSAU UNIVERSITY MEDICAL CENTER,213084172.5,6,No,10
ST BARNABAS HOSPITAL,HUNTINGTON HOSPITAL,205545084.7,6,No,10
WINTHROP-UNIVERSITY HOSPITAL,LINCOLN MEDICAL & MENTAL HEALTH CENTER,1046472923,6,No,10
KINGS COUNTY HOSPITAL CENTER,WINTHROP-UNIVERSITY HOSPITAL,912428665.4,6,No,10
NEW YORK METHODIST HOSPITAL,WINTHROP-UNIVERSITY HOSPITAL,913782021.5,6,No,10
HOSPITAL FOR SPECIAL SURGERY,"ST FRANCIS HOSPITAL, ROSLYN",493178115.7,6,No,10
HUNTINGTON HOSPITAL,METROPOLITAN HOSPITAL CENTER,132571228.7,6,No,10
LENOX HILL HOSPITAL,NEW YORK METHODIST HOSPITAL,752368816.7,6,No,10
"ST FRANCIS HOSPITAL, ROSLYN",NEW YORK METHODIST HOSPITAL,763403168,6,No,10
NEW YORK-PRESBYTERIAN HOSPITAL,MERCY MEDICAL CENTER,89322011.3,6,No,10
LONG ISLAND JEWISH MEDICAL CENTER,HOSPITAL FOR SPECIAL SURGERY,624813060.3,6,No,10
MOUNT SINAI HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,199450079.7,6,No,10
ELMHURST HOSPITAL CENTER,NORTH CENTRAL BRONX HOSPITAL,199054190.2,6,No,10
GLEN COVE HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,184493946.9,6,No,10
CONEY ISLAND HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,188317510,6,No,10
KINGSBROOK JEWISH MEDICAL CENTER,NORTH CENTRAL BRONX HOSPITAL,190697627.9,6,No,10
ELMHURST HOSPITAL CENTER,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,553309473.3,7,No,10
MOUNT SINAI HOSPITAL,NEW YORK-PRESBYTERIAN HOSPITAL,3551992351,7,No,10
KINGS COUNTY HOSPITAL CENTER,LENOX HILL HOSPITAL,892075221.4,7,No,10
GLEN COVE HOSPITAL,JACOBI MEDICAL CENTER,338763285.3,7,No,10
BELLEVUE HOSPITAL CENTER,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,344715123.9,7,No,10
LUTHERAN MEDICAL CENTER,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,341542550.6,7,No,10
LENOX HILL HOSPITAL,KINGS COUNTY HOSPITAL CENTER,671660088,7,No,10
LONG ISLAND JEWISH MEDICAL CENTER,KINGS COUNTY HOSPITAL CENTER,632921082.5,7,No,10
UNIVERSITY HOSPITAL ( STONY BROOK ),KINGS COUNTY HOSPITAL CENTER,643792949.3,7,No,10
ST BARNABAS HOSPITAL,KINGS COUNTY HOSPITAL CENTER,696584768.3,7,No,10
CONEY ISLAND HOSPITAL,UNIVERSITY HOSPITAL ( STONY BROOK ),1268100209,7,No,10
MOUNT SINAI HOSPITAL,JAMAICA HOSPITAL MEDICAL CENTER,592762684.2,8,No,10
CONEY ISLAND HOSPITAL,JAMAICA HOSPITAL MEDICAL CENTER,579020068.2,8,No,10
LUTHERAN MEDICAL CENTER,JAMAICA HOSPITAL MEDICAL CENTER,573043889,8,No,10
LENOX HILL HOSPITAL,CONEY ISLAND HOSPITAL,591144638.7,8,No,10
LONG ISLAND JEWISH MEDICAL CENTER,CONEY ISLAND HOSPITAL,576191506.8,8,No,10
NYU HOSPITALS CENTER,BROOKDALE HOSPITAL MEDICAL CENTER,245225420.1,8,No,10
UNIVERSITY HOSPITAL ( STONY BROOK ),BROOKDALE HOSPITAL MEDICAL CENTER,254000166.2,8,No,10
PECONIC BAY MEDICAL CENTER,ST CHARLES HOSPITAL,85024352.54,8,No,10
JAMAICA HOSPITAL MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,832142945.5,8,No,10
CONEY ISLAND HOSPITAL,NEW YORK-PRESBYTERIAN HOSPITAL,2170272462,9,No,10
LENOX HILL HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,411800806.7,9,No,10
LONG ISLAND JEWISH MEDICAL CENTER,KINGSBROOK JEWISH MEDICAL CENTER,436929684.8,9,No,10
LUTHERAN MEDICAL CENTER,KINGSBROOK JEWISH MEDICAL CENTER,425216588.5,9,No,10
NYU HOSPITALS CENTER,BROOKDALE HOSPITAL MEDICAL CENTER,237178384.7,9,No,10
UNIVERSITY HOSPITAL ( STONY BROOK ),BROOKDALE HOSPITAL MEDICAL CENTER,218806838.1,9,No,10
BRONX-LEBANON HOSPITAL CENTER,PENINSULA HOSPITAL CENTER,52389623.67,4,No,11
LUTHERAN MEDICAL CENTER,PENINSULA HOSPITAL CENTER,58551145.74,4,No,11
MONTEFIORE MEDICAL CENTER,BRONX-LEBANON HOSPITAL CENTER,491249717.3,4,No,11
NEW YORK-PRESBYTERIAN HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,521901125.9,4,No,11
WINTHROP-UNIVERSITY HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,502255846.5,4,No,11
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,BRONX-LEBANON HOSPITAL CENTER,487589198.4,4,No,11
SOUTH NASSAU COMMUNITIES HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,519808190.8,4,No,11
BELLEVUE HOSPITAL CENTER,BRONX-LEBANON HOSPITAL CENTER,521297192.5,4,No,11
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,BRONX-LEBANON HOSPITAL CENTER,518415659.4,4,No,11
MOUNT SINAI HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",55315736.16,4,No,11
EASTERN LONG ISLAND HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",64247261.35,4,No,11
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",61041324.85,4,No,11
GLEN COVE HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",56755826.96,4,No,11
KINGS COUNTY HOSPITAL CENTER,MOUNT SINAI HOSPITAL,1725855670,4,No,11
LONG ISLAND JEWISH MEDICAL CENTER,HUNTINGTON HOSPITAL,194855453.9,4,No,11
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,JACOBI MEDICAL CENTER,274146692.3,4,No,11
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,LONG ISLAND COLLEGE HOSPITAL,141339674.9,4,No,11
HUNTINGTON HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",512469637.8,4,No,11
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,LONG ISLAND JEWISH MEDICAL CENTER,1370389941,4,No,11
ELMHURST HOSPITAL CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,316286709.3,4,No,11
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),SOUTH NASSAU COMMUNITIES HOSPITAL,315525613.5,4,No,11
PENINSULA HOSPITAL CENTER,KINGSBROOK JEWISH MEDICAL CENTER,87715330.53,4,No,11
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",KINGSBROOK JEWISH MEDICAL CENTER,92761356.14,4,No,11
ST JOSEPH HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,89910607.8,4,No,11
NORTH CENTRAL BRONX HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,90842911.36,4,No,11
UNIVERSITY HOSPITAL ( STONY BROOK ),KINGSBROOK JEWISH MEDICAL CENTER,86332593.34,4,No,11
LINCOLN MEDICAL & MENTAL HEALTH CENTER,KINGS COUNTY HOSPITAL CENTER,1023601300,4,No,11
BETH ISRAEL MEDICAL CENTER,KINGS COUNTY HOSPITAL CENTER,1015720536,4,No,11
"ST FRANCIS HOSPITAL, ROSLYN",KINGS COUNTY HOSPITAL CENTER,1046582813,4,No,11
MAIMONIDES MEDICAL CENTER,KINGS COUNTY HOSPITAL CENTER,970600031.7,4,No,11
CONEY ISLAND HOSPITAL,BROOKDALE HOSPITAL MEDICAL CENTER,422226045.2,4,No,11
NEW YORK DOWNTOWN HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,84557720.45,4,No,11
PECONIC BAY MEDICAL CENTER,NORTH CENTRAL BRONX HOSPITAL,94317824.29,4,No,11
STATEN ISLAND UNIVERSITY HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,81903618.18,4,No,11
NYU HOSPITALS CENTER,NORTH CENTRAL BRONX HOSPITAL,88654283.81,4,No,11
LENOX HILL HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,535248791.3,4,No,11
NEW YORK METHODIST HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,556429530.8,4,No,11
HARLEM HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,524898467.6,4,No,11
HOSPITAL FOR SPECIAL SURGERY,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,559557256.9,4,No,11
